Super Maison Pokemon

# | Pokemon | Nature | Item | Move | Move | Move | Move | EV Spread
0 | Barbaracle1 | Adamant | BrightPowder | Stone Edge | Razor Shell | Shell Smash | Double Team | Atk/Spd
133 | Sliggoo1 | Calm | Sitrus Berry | Bide | Toxic | Flail | Dragon Pulse | Def/SpD
134 | Primeape1 | Jolly | Persim Berry | Karate Chop | Rock Slide | Thrash | U-turn | Atk/Spd
135 | Quilladin1 | Adamant | Leftovers | Wood Hammer | Leech Seed | Protect | Dig | Atk/Def
136 | Frogadier1 | Adamant | Power Herb | Dig | Power-Up Punch | Waterfall | Bounce | Atk/Spd
137 | Braixen1 | Timid | Light Clay | Flamethrower | Psychic | Safeguard | Light Screen | Spd/SpA
138 | Bibarel1 | Timid | Chesto Berry | Shadow Ball | Surf | Thunderbolt | Ice Beam | Spd/SpA
139 | Gabite1 | Adamant | Yache Berry | Dragon Claw | Slash | Earthquake | Sand Tomb | Atk/Spd
140 | Golbat1 | Impish | BrightPowder | Poison Fang | Steel Wing | Fly | Protect | Def/Spd
141 | Pachirisu1 | Hardy | BrightPowder | Electro Ball | Hyper Fang | Double Team | Swagger | Atk/Spd/SpA
142 | Klefki1 | Modest | Apicot Berry | Flash Cannon | Recycle | Draining Kiss | Metal Sound | SpA/SpD
143 | Wigglytuff1 | Modest | Shell Bell | Disarming Voice | Round | Focus Blast | Thunderbolt | HP/SpA
144 | Mightyena1 | Modest | Salac Berry | Snarl | Shadow Ball | Frustration | Incinerate | Spd/SpA
145 | Qwilfish1 | Modest | Focus Band | Ice Beam | Toxic Spikes | Venoshock | Brine | Spd/SpA
146 | Carnivine1 | Calm | Big Root | Leaf Tornado | Sludge Bomb | Stockpile | Ingrain | Def/SpD
147 | Sharpedo1 | Modest | Focus Band | Ice Beam | Scald | Dark Pulse | Aqua Jet | Spd/SpA
148 | Magcargo1 | Hasty | BrightPowder | Double Team | Stone Edge | Earthquake | Shell Smash | Atk/Spd
149 | Lumineon1 | Timid | Expert Belt | Rain Dance | Surf | Ice Beam | Silver Wind | Spd/SpA
150 | Floette1 | Quiet | Petaya Berry | Round | Confide | Moonblast | Grass Knot | SpA/SpD
151 | Magneton1 | Calm | Shuca Berry | Thunderbolt | Flash Cannon | Screech | Metal Sound | Def/SpD
152 | Purugly1 | Adamant | Lax Incense | Slash | Fake Out | Shadow Claw | Attract | Atk/Spd
153 | Octillery1 | Adamant | Cell Battery | Soak | Bullet Seed | Rock Blast | Waterfall | Atk/Def
154 | Stunfisk1 | Quiet | Focus Band | Thunderbolt | Earthquake | Flail | Endure | HP/Atk/SpA
155 | Heliolisk1 | Jolly | Kings Rock | Volt Switch | U-turn | Quick Attack | Rock Slide | Atk/Spd
156 | Mantine1 | Timid | Wacan Berry | Air Slash | Scald | Wide Guard | Aqua Ring | Spd/SpA
157 | Swalot1 | Calm | Sitrus Berry | Stockpile | Shadow Ball | Yawn | Belch | HP/SpD
158 | Scolipede1 | Adamant | Scope Lens | X-Scissor | Poison Jab | Rock Slide | Swords Dance | Atk/Spd
159 | Rhydon1 | Adamant | Quick Claw | Stone Edge | Megahorn | Drill Run | Earthquake | Atk/Def
160 | Sawsbuck1 | Adamant | Lum Berry | Horn Leech | Double-Edge | Wild Charge | Jump Kick | Atk/Spd
161 | Whimsicott1 | Naive | Coba Berry | SolarBeam | Psychic | Dazzling Gleam | Sunny Day | Spd/SpA
162 | Dragalge1 | Adamant | BrightPowder | Waterfall | Facade | Double Team | Poison Tail | Atk/Spd
163 | Heatmor1 | Modest | Lax Incense | Flame Burst | Stockpile | Swallow | Spit Up | HP/SpA
164 | Grumpig1 | Modest | Leftovers | Rest | Sleep Talk | Psychic | Shadow Ball | Def/SpA/SpD
165 | Piloswine1 | Bashful | Persim Berry | Blizzard | Thrash | Earthquake | Hail | Atk/SpA
166 | Vigoroth1 | Jolly | Salac Berry | Shadow Claw | Counter | Endure | Return | Def/Spd
167 | Cacturne1 | Brave | Razor Claw | Sandstorm | Ingrain | Spikes | Payback | HP/Atk
168 | Girafarig1 | Timid | Ganlon Berry | Calm Mind | Baton Pass | Psychic | Shadow Ball | Spd/SpA
169 | Persian1 | Adamant | Rocky Helmet | Taunt | Slash | U-turn | Payback | HP/Atk
170 | Gurdurr2 | Adamant | White Herb | Superpower | Stone Edge | Chip Away | Bulk Up | HP/Atk
171 | Sliggoo2 | Modest | Wise Glasses | Dragon Pulse | Ice Beam | Thunderbolt | Muddy Water | SpA/SpD
172 | Primeape2 | Jolly | Scope Lens | Cross Chop | Stone Edge | Retaliate | Earthquake | Atk/Spd
173 | Quilladin2 | Modest | Expert Belt | Mud Shot | Energy Ball | Sludge Bomb | Round | Def/SpA
174 | Frogadier2 | Timid | Kings Rock | Hydro Pump | Ice Beam | Dark Pulse | Round | Spd/SpA
175 | Braixen2 | Modest | Wide Lens | Fire Blast | Psychic | Psyshock | Round | SpA/SpD
176 | Bibarel2 | Adamant | Quick Claw | Waterfall | Super Fang | Superpower | Curse | Atk/Spd
177 | Gabite2 | Adamant | Haban Berry | Dragon Rush | Sandstorm | Stone Edge | Earthquake | Atk/Spd
178 | Golbat2 | Naive | Razor Fang | Giga Drain | Air Slash | Confuse Ray | Shadow Ball | Spd/SpA
179 | Pachirisu2 | Jolly | Sitrus Berry | Volt Switch | U-turn | Super Fang | Light Screen | Atk/Spd
180 | Klefki2 | Calm | Occa Berry | Flash Cannon | Dazzling Gleam | Psychic | Crafty Shield | SpA/SpD
181 | Wigglytuff2 | Adamant | Babiri Berry | Play Rough | Brick Break | Body Slam | Grass Knot | HP/Atk
182 | Mightyena2 | Adamant | Razor Claw | Crunch | Sucker Punch | Frustration | Taunt | Atk/Spd
183 | Qwilfish2 | Adamant | Cell Battery | Aqua Tail | Poison Jab | Pin Missile | Stockpile | Atk/Spd
184 | Carnivine2 | Adamant | Binding Band | Infestation | Swords Dance | Crunch | Power Whip | HP/Atk
185 | Sharpedo2 | Jolly | Muscle Band | Night Slash | Waterfall | Earthquake | Ice Fang | Atk/Spd
186 | Magcargo2 | Quiet | White Herb | Overheat | Earth Power | Gyro Ball | Body Slam | Atk/SpA
187 | Lumineon2 | Jolly | Shell Bell | Waterfall | Attract | Bounce | Aqua Ring | Atk/Spd
188 | Floette2 | Adamant | Kebia Berry | Grassy Terrain | Misty Terrain | Dazzling Gleam | Petal Blizzard | SpA/SpD
189 | Magneton2 | Modest | Quick Claw | Magnet Rise | Flash Cannon | Thunder | Metal Sound | Def/SpA
190 | Purugly2 | Modest | Big Root | Hypnosis | Dream Eater | Shadow Ball | Round | Spd/SpA
191 | Octillery2 | Modest | Razor Claw | Flamethrower | Ice Beam | Flash Cannon | Signal Beam | SpA/SpD
192 | Stunfisk2 | Modest | Wide Lens | Thunderbolt | Muddy Water | Scald | Fissure | HP/SpA
193 | Heliolisk2 | Modest | Wide Lens | Round | Focus Blast | Dark Pulse | Thunder | Spd/SpA
194 | Mantine2 | Mild | Cell Battery | Rain Dance | Hydro Pump | Ice Beam | Earthquake | Atk/SpA
195 | Swalot2 | Calm | Black Sludge | Stockpile | Toxic | Protect | Earthquake | Def/SpD
196 | Scolipede2 | Jolly | Kings Rock | Steamroller | Poison Tail | Earthquake | Rock Slide | Atk/Spd
197 | Rhydon2 | Impish | Rocky Helmet | Horn Drill | Dragon Tail | Payback | Hammer Arm | Def/SpD
198 | Sawsbuck2 | Adamant | Shell Bell | Horn Leech | Double-Edge | Megahorn | Leech Seed | Atk/Spd
199 | Whimsicott2 | Modest | Sitrus Berry | Energy Ball | Moonblast | Leech Seed | Tailwind | Spd/SpA
200 | Dragalge2 | Modest | Payapa Berry | Dragon Pulse | Sludge Wave | Surf | Thunderbolt | Spd/SpA
201 | Heatmor2 | Hardy | Shuca Berry | Inferno | Night Slash | Focus Blast | Aerial Ace | Atk/SpA
202 | Grumpig2 | Modest | Wise Glasses | Psychic | Shadow Ball | Power Gem | Energy Ball | Spd/SpA
203 | Piloswine2 | Relaxed | Zoom Lens | Hail | Stone Edge | Blizzard | Fissure | HP/Def
204 | Vigoroth2 | Modest | BrightPowder | Ice Beam | Thunderbolt | Flamethrower | Shadow Ball | Spd/SpA
205 | Cacturne2 | Quiet | Scope Lens | Dark Pulse | Energy Ball | Sucker Punch | Focus Blast | Atk/SpA
206 | Girafarig2 | Modest | Colbur Berry | Psychic | Thunderbolt | Energy Ball | Dazzling Gleam | Spd/SpA
207 | Persian2 | Timid | Life Orb | Round | Fake Out | Power Gem | Dark Pulse | Spd/SpA
